alg	tssize	tcsize	sig_time	prio_time	tot_time
GA-S	50000	1000	75.1128158569	5493.714268	5568.82708386
GA-S	60000	1000	70.0174729824	7694.188613	7764.20608598
GA-S	1000	10000	165.755631924	21.111468	186.867099924
GA-S	2000	10000	235.292670965	84.109229	319.401899965
GA-S	3000	10000	303.317994118	188.346333	491.664327118
GA-S	4000	10000	366.846191883	332.27609	699.122281883
GA-S	5000	10000	424.905523062	519.819897	944.725420062
GA-S	6000	10000	492.026279926	746.050225	1238.07650493
GA-S	7000	10000	557.752321005	1572.494614	2130.24693501
GA-S	8000	10000	622.781316996	1332.594214	1955.375531
GA-S	9000	10000	684.690777063	1687.225868	2371.91664506
GA-S	10000	10000	753.735486984	2054.698472	2808.43395898
GA-S	20000	10000	1343.598423	8089.38948	9432.987903
GA-S	1000	100000	22212.8561702	382.398001	22595.2541712
GA-S	2000	100000	27693.9827809	1377.360616	29071.3433969
GA-S	3000	100000	33153.986259	2654.67903	35808.665289
GA-S	4000	100000	39260.847163	4713.082041	43973.929204
GA-S	5000	100000	49083.336518	11799.816356	60883.152874
